seconds,raw_value,our-attention,attention,our_attention,blink,delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma
14.56354499,49,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
14.66755223,49,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
14.7718339,49,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
14.87666893,49,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
14.98076892,49,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
15.08597994,49,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
15.18814707,49,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
15.29254794,49,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
15.39636707,49,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
15.5002389,49,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
15.60567904,49,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
15.70832801,49,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
15.81168079,49,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
15.91614509,49,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
16.02012801,49,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
16.12508202,49,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
16.229038,49,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
16.33110595,49,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
16.43611813,49,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
16.5407629,49,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
16.64465404,49,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
16.74924898,49,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
16.85336113,49,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
16.95708609,49,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
17.05920506,49,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
17.16423512,49,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
17.26892877,49,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
17.37333417,49,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
17.47790599,49,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
17.58229113,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
17.68665504,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
17.79116893,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
17.89565706,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
18.00024295,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
18.10470104,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
18.20925903,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
18.3133769,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
18.41759801,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
18.51975513,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
18.621351,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
18.72584701,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
18.83031297,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
18.93499613,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
19.03893495,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
19.14383388,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
19.24836802,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
19.35297894,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
19.45728397,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
19.56186414,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
19.66221714,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
19.7668581,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
19.8688879,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
19.97396016,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
20.07848001,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
20.18295908,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
20.28317308,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
20.38616514,82,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
